Codigo,Municipio,Brancos,Pretos,Amarelos,Pardos,Indigenas,NoData,Ano,RI
150285,CURUÁ,1505,415,24,8633,0,58,2013,Baixo Amazonas
150285,CURUÁ,1506,362,101,10713,3,0,2022,Baixo Amazonas
150290,CURUÇÁ,1892,327,72,24352,6,332,2013,Guamá
150290,CURUÇÁ,3611,566,155,27544,86,3,2022,Guamá
150293,DOM ELISEU,3188,3437,504,19360,20,7,2022,Rio Capim
150293,DOM ELISEU,3218,3589,164,18917,38,244,2013,Rio Capim
150295,ELDORADO DO CARAJÁS,3263,1361,127,17526,17,2,2022,Carajás
150295,ELDORADO DO CARAJÁS,2971,1622,71,14602,17,143,2013,Carajás
150300,FARO,387,19,3,5791,3,139,2013,Baixo Amazonas
150300,FARO,364,47,24,8091,41,1,2022,Baixo Amazonas
150304,FLORESTA DO ARAGUAIA,2537,778,112,9198,35,156,2013,Araguaia
150304,FLORESTA DO ARAGUAIA,2418,633,92,10820,14,0,2022,Araguaia
150307,GARRAFÃO DO NORTE,226,104,18,19477,0,0,2022,Rio Capim
150307,GARRAFÃO DO NORTE,175,118,18,22152,1,97,2013,Rio Capim
150309,GOIANÉSIA DO PARÁ,2462,743,86,17104,83,5,2022,Lago Tucuruí
150309,GOIANÉSIA DO PARÁ,2730,1108,77,18960,68,220,2013,Lago Tucuruí
150310,GURUPÁ,2091,420,64,20448,32,26,2013,Marajó
150310,GURUPÁ,1863,349,198,28294,18,1,2022,Marajó
150320,IGARAPÉ-AÇU,788,265,37,21666,14,344,2013,Guamá
150320,IGARAPÉ-AÇU,1621,416,64,25170,11,3,2022,Guamá
150330,IGARAPÉ-MIRI,4556,1434,165,41244,15,429,2013,Tocantins
150330,IGARAPÉ-MIRI,5667,2071,121,42199,10,2,2022,Tocantins
150340,INHANGAPI,369,590,6,6246,6,115,2013,Guamá
150340,INHANGAPI,430,513,10,6961,8,1,2022,Guamá
150345,IPIXUNA DO PARÁ,1291,697,40,20358,19,324,2013,Rio Capim
150345,IPIXUNA DO PARÁ,1719,819,73,24174,15,5,2022,Rio Capim
150350,IRITUIA,1162,523,122,24218,6,1,2022,Rio Capim
150350,IRITUIA,901,419,48,22822,10,139,2013,Rio Capim
150360,ITAITUBA,5962,4761,245,53518,734,828,2013,Tapajós
150360,ITAITUBA,6697,4603,455,63335,1260,13,2022,Tapajós
150370,ITUPIRANGA,3798,2446,137,30714,134,303,2013,Lago Tucuruí
150370,ITUPIRANGA,4037,2252,160,29863,374,5,2022,Lago Tucuruí
150375,JACAREACANGA,461,260,17,2717,8097,21,2013,Tapajós
150375,JACAREACANGA,957,403,25,4304,11626,0,2022,Tapajós
150380,JACUNDÁ,3017,1263,136,24345,45,3,2022,Lago Tucuruí
150380,JACUNDÁ,2374,1245,84,25156,31,260,2013,Lago Tucuruí
150390,JURUTI,1712,143,109,31390,49,2,2022,Baixo Amazonas
150390,JURUTI,1486,106,56,32744,35,331,2013,Baixo Amazonas
150400,LIMOEIRO DO AJURU,3292,15,6,18857,0,71,2013,Tocantins
150400,LIMOEIRO DO AJURU,2662,77,36,22417,8,1,2022,Tocantins
150405,MÃE DO RIO,2208,857,62,22051,16,1,2022,Rio Capim
150405,MÃE DO RIO,2432,1121,44,21728,13,245,2013,Rio Capim
150410,MAGALHÃES BARATA,367,72,5,6019,4,65,2013,Guamá
150410,MAGALHÃES BARATA,563,61,18,5797,3,0,2022,Guamá
150420,MARABÁ,8364,5999,515,124856,159,31,2022,Carajás
150420,MARABÁ,7172,5840,429,102881,110,2003,2013,Carajás
150430,MARACANÃ,1503,114,28,23968,15,1,2022,Guamá
150430,MARACANÃ,1572,139,17,22306,4,163,2013,Guamá
150440,MARAPANIM,2390,425,13,15650,46,97,2013,Guamá
150440,MARAPANIM,2417,298,59,16869,30,1,2022,Guamá
150442,MARITUBA,8140,2956,510,66072,133,9,2022,Guajará
150442,MARITUBA,6361,2412,137,52130,46,982,2013,Guajará
150445,MEDICILÂNDIA,1380,683,64,15698,17,254,2013,Xingu
150445,MEDICILÂNDIA,2299,723,183,20061,18,4,2022,Xingu
150450,MELGAÇO,1198,1455,4402,16636,21,1,2022,Marajó
150450,MELGAÇO,970,740,922,17279,65,101,2013,Marajó
150460,MOCAJUBA,3447,1717,121,23932,50,2,2022,Tocantins
150460,MOCAJUBA,2030,1267,55,21256,37,279,2013,Tocantins
150470,MOJU,5457,3879,178,41917,273,740,2013,Tocantins
150470,MOJU,6019,4541,373,49690,190,2,2022,Tocantins
150475,MOJUÍ DOS CAMPOS,93,23,4,708,0,1,2013,Baixo Amazonas
150475,MOJUÍ DOS CAMPOS,1591,340,50,16584,19,2,2022,Baixo Amazonas
150480,MONTE ALEGRE,1835,381,98,44826,18,2,2022,Baixo Amazonas
150480,MONTE ALEGRE,1464,321,43,45743,7,383,2013,Baixo Amazonas
150490,MUANÁ,3904,1477,202,25526,9,1,2022,Marajó
150490,MUANÁ,3660,1615,130,19265,3,172,2013,Marajó
150495,NOVA ESPERANÇA DO PIRIÁ,314,355,25,16098,17,159,2013,Rio Capim
150495,NOVA ESPERANÇA DO PIRIÁ,664,284,45,17809,17,2,2022,Rio Capim
150497,NOVA IPIXUNA,1054,554,36,9727,16,68,2013,Lago Tucuruí
150497,NOVA IPIXUNA,1208,582,44,7623,8,2,2022,Lago Tucuruí
150500,NOVA TIMBOTEUA,902,252,82,7785,11,1,2022,Rio Caeté
150500,NOVA TIMBOTEUA,808,388,163,7139,46,27,2013,Rio Caeté
150503,NOVO PROGRESSO,4028,1334,131,10547,599,4,2022,Tapajós
150503,NOVO PROGRESSO,3932,1206,29,6506,240,34,2013,Tapajós
150506,NOVO REPARTIMENTO,3621,1401,353,34529,888,7,2022,Lago Tucuruí
150506,NOVO REPARTIMENTO,4485,2146,251,36698,50,312,2013,Lago Tucuruí
150510,ÓBIDOS,5866,3142,195,31822,15,5,2022,Baixo Amazonas
150510,ÓBIDOS,4373,2001,108,31130,20,328,2013,Baixo Amazonas
150520,OEIRAS DO PARÁ,1225,550,81,28939,16,0,2022,Tocantins
150520,OEIRAS DO PARÁ,750,350,30,23715,15,155,2013,Tocantins
150530,ORIXIMINÁ,2401,3582,16,33437,1512,148,2013,Baixo Amazonas
150530,ORIXIMINÁ,1560,3233,31,39062,1928,1,2022,Baixo Amazonas
150540,OURÉM,473,311,23,13933,3,0,2022,Rio Capim
150540,OURÉM,388,281,15,13522,9,118,2013,Rio Capim
150543,OURILÂNDIA DO NORTE,2289,774,34,11631,627,176,2013,Araguaia
150543,OURILÂNDIA DO NORTE,3029,993,88,17154,1513,4,2022,Araguaia
150548,PACAJÁ,1709,600,46,23889,14,190,2013,Xingu
150548,PACAJÁ,2181,1047,108,31385,24,10,2022,Xingu
150549,PALESTINA DO PARÁ,835,500,32,4647,6,0,2022,Carajás
150549,PALESTINA DO PARÁ,939,601,73,5320,6,47,2013,Carajás
150550,PARAGOMINAS,4928,3722,194,56389,841,987,2013,Rio Capim
150550,PARAGOMINAS,6015,3165,220,56757,950,8,2022,Rio Capim
150553,PARAUAPEBAS,14099,5837,782,98030,1233,23,2022,Carajás
150553,PARAUAPEBAS,6997,2980,162,67844,1033,417,2013,Carajás
150555,PAU DARCO,313,137,6,4535,226,66,2013,Araguaia
150555,PAU DARCO,628,204,77,4781,271,0,2022,Araguaia
150560,PEIXE-BOI,978,135,47,5285,3,37,2013,Rio Caeté
150560,PEIXE-BOI,865,49,19,5057,24,0,2022,Rio Caeté
150563,PIÇARRA,1118,604,108,7558,22,89,2013,Carajás
150563,PIÇARRA,887,645,102,7051,10,1,2022,Carajás
150565,PLACAS,2327,1687,88,7938,13,75,2013,Xingu
150565,PLACAS,3026,1649,111,10873,21,5,2022,Xingu
150570,PONTA DE PEDRAS,868,312,25,18663,17,106,2013,Marajó
150570,PONTA DE PEDRAS,929,378,49,21756,25,4,2022,Marajó
150580,PORTEL,1966,761,104,35165,48,288,2013,Marajó
150580,PORTEL,2406,1196,256,43598,27,6,2022,Marajó
150590,PORTO DE MOZ,561,206,9,20802,2,117,2013,Xingu
150590,PORTO DE MOZ,796,234,94,28928,10,4,2022,Xingu
150600,PRAINHA,835,172,31,33121,8,1,2022,Baixo Amazonas
150600,PRAINHA,661,184,16,28494,11,118,2013,Baixo Amazonas
150610,PRIMAVERA,1388,270,17,7452,4,0,2022,Rio Caeté
150610,PRIMAVERA,1397,284,20,6734,14,31,2013,Rio Caeté
150611,QUATIPURU,1353,264,38,8009,12,0,2022,Rio Caeté
150611,QUATIPURU,928,295,46,8350,14,31,2013,Rio Caeté
150613,REDENÇÃO,4089,1974,283,28550,125,233,2013,Araguaia
150613,REDENÇÃO,6021,2061,340,36913,286,5,2022,Araguaia
150616,RIO MARIA,953,611,23,7149,7,84,2013,Araguaia
150616,RIO MARIA,2219,821,31,8829,19,2,2022,Araguaia
150618,RONDON DO PARÁ,2828,1049,55,18755,8,3,2022,Rio Capim
150618,RONDON DO PARÁ,2351,1326,45,22036,11,434,2013,Rio Capim
150619,RURÓPOLIS,2718,870,992,13202,13,268,2013,Tapajós
150619,RURÓPOLIS,2780,897,817,16240,14,1,2022,Tapajós
150620,SALINÓPOLIS,932,217,160,25372,14,2,2022,Rio Caeté
150620,SALINÓPOLIS,367,124,20,21473,5,56,2013,Rio Caeté
150630,SALVATERRA,1108,1604,44,13769,11,146,2013,Marajó
150630,SALVATERRA,787,1209,27,16683,4,1,2022,Marajó
150635,SANTA BÁRBARA DO PARÁ,1197,393,45,14494,12,3,2022,Guajará
150635,SANTA BÁRBARA DO PARÁ,559,135,15,13881,3,129,2013,Guajará
150640,SANTA CRUZ DO ARARI,297,1053,44,5428,4,1,2022,Marajó
150640,SANTA CRUZ DO ARARI,75,974,10,3462,26,31,2013,Marajó
150650,SANTA IZABEL DO PARÁ,1741,746,37,34551,12,221,2013,Guamá
150650,SANTA IZABEL DO PARÁ,1892,724,75,33517,12,6,2022,Guamá
150655,SANTA LUZIA DO PARÁ,1551,1178,48,14887,73,54,2013,Rio Caeté
150655,SANTA LUZIA DO PARÁ,1290,501,47,15016,281,1,2022,Rio Caeté
150658,SANTA MARIA DAS BARREIRAS,1703,1079,228,10312,83,43,2013,Araguaia
150658,SANTA MARIA DAS BARREIRAS,2390,933,148,11027,71,1,2022,Araguaia
150660,SANTA MARIA DO PARÁ,1077,408,44,16211,55,88,2013,Guamá
150660,SANTA MARIA DO PARÁ,1432,392,50,15680,110,1,2022,Guamá
150670,SANTANA DO ARAGUAIA,3161,1388,146,19499,112,4,2022,Araguaia
150670,SANTANA DO ARAGUAIA,1931,1381,107,14295,81,217,2013,Araguaia
150680,SANTARÉM,22746,6494,1211,207460,3747,35,2022,Baixo Amazonas
150680,SANTARÉM,19014,5282,812,170776,1346,1686,2013,Baixo Amazonas
150690,SANTARÉM NOVO,121,21,5,5779,2,29,2013,Rio Caeté
150690,SANTARÉM NOVO,230,49,23,6743,4,1,2022,Rio Caeté
150700,SANTO ANTÔNIO DO TAUÁ,1680,280,52,16005,15,213,2013,Guamá
150700,SANTO ANTÔNIO DO TAUÁ,1536,261,85,19386,5,1,2022,Guamá
150710,SÃO CAETANO DE ODIVELAS,904,205,21,12283,1,0,2022,Guamá
150710,SÃO CAETANO DE ODIVELAS,561,183,8,12220,2,157,2013,Guamá
150715,SÃO DOMINGOS DO ARAGUAIA,1083,585,39,14349,9,212,2013,Carajás
150715,SÃO DOMINGOS DO ARAGUAIA,1841,745,113,13439,22,4,2022,Carajás
150720,SÃO DOMINGOS DO CAPIM,522,463,81,25009,6,5,2022,Guamá
150720,SÃO DOMINGOS DO CAPIM,732,848,21,24543,5,300,2013,Guamá
150730,SÃO FÉLIX DO XINGU,2510,1625,55,25606,1234,251,2013,Araguaia
150730,SÃO FÉLIX DO XINGU,5025,2562,269,34378,1646,7,2022,Araguaia
150740,SÃO FRANCISCO DO PARÁ,908,125,26,11095,7,1,2022,Guamá
150740,SÃO FRANCISCO DO PARÁ,936,109,13,10581,13,142,2013,Guamá
150745,SÃO GERALDO DO ARAGUAIA,2302,3480,75,12377,211,305,2013,Carajás
150745,SÃO GERALDO DO ARAGUAIA,2152,2351,177,12121,187,2,2022,Carajás
150746,SÃO JOÃO DA PONTA,255,30,5,4282,3,50,2013,Guamá
150746,SÃO JOÃO DA PONTA,404,79,10,4976,1,2,2022,Guamá
150747,SÃO JOÃO DE PIRABAS,1620,496,38,14467,14,0,2022,Rio Caeté
150747,SÃO JOÃO DE PIRABAS,2078,665,37,13501,22,100,2013,Rio Caeté
150750,SÃO JOÃO DO ARAGUAIA,569,401,8,8093,5,138,2013,Carajás
150750,SÃO JOÃO DO ARAGUAIA,744,533,57,11150,3,0,2022,Carajás
150760,SÃO MIGUEL DO GUAMÁ,1944,624,32,33751,9,553,2013,Guamá
150760,SÃO MIGUEL DO GUAMÁ,1537,732,141,34919,15,5,2022,Guamá
150770,SÃO SEBASTIÃO DA BOA VISTA,474,122,23,20343,9,166,2013,Marajó
150770,SÃO SEBASTIÃO DA BOA VISTA,545,156,57,25027,8,0,2022,Marajó
150775,SAPUCAIA,555,259,12,2729,1,47,2013,Araguaia
150775,SAPUCAIA,443,211,20,2785,0,0,2022,Araguaia
150780,SENADOR JOSÉ PORFÍRIO,1424,831,182,13476,150,0,2022,Xingu
150780,SENADOR JOSÉ PORFÍRIO,772,694,117,8465,124,40,2013,Xingu
150790,SOURE,190,324,42,15132,1,213,2013,Marajó
150790,SOURE,709,743,81,16451,7,5,2022,Marajó
150795,TAILÂNDIA,3964,2542,723,38817,76,367,2013,Tocantins
150795,TAILÂNDIA,4022,2409,650,45470,48,8,2022,Tocantins
150796,TERRA ALTA,439,138,38,9801,42,2,2022,Guamá
150796,TERRA ALTA,364,152,1,7975,18,129,2013,Guamá
150797,TERRA SANTA,348,53,28,13903,7,0,2022,Baixo Amazonas
150797,TERRA SANTA,267,26,9,12206,4,101,2013,Baixo Amazonas
150800,TOMÉ-AÇU,1623,1783,51,43041,93,535,2013,Rio Capim
150800,TOMÉ-AÇU,2219,2327,129,43698,213,7,2022,Rio Capim
150803,TRACUATEUA,445,245,73,24256,11,1,2022,Rio Caeté
150803,TRACUATEUA,259,200,52,23788,5,269,2013,Rio Caeté
150805,TRAIRÃO,1237,334,24,7808,23,68,2013,Tapajós
150805,TRAIRÃO,1141,350,41,10473,64,0,2022,Tapajós
150808,TUCUMÃ,3502,744,66,15746,4,172,2013,Araguaia
150808,TUCUMÃ,3113,807,102,17734,15,3,2022,Araguaia
150810,TUCURUÍ,6747,2394,250,50037,720,7,2022,Lago Tucuruí
150810,TUCURUÍ,6625,2528,149,50796,542,671,2013,Lago Tucuruí
150812,ULIANÓPOLIS,2279,1447,95,14792,32,6,2022,Rio Capim
150812,ULIANÓPOLIS,983,716,132,14429,11,137,2013,Rio Capim
150815,URUARÁ,2035,823,94,24523,13,348,2013,Xingu
150815,URUARÁ,3731,1670,205,25402,20,3,2022,Xingu
150820,VIGIA,1842,542,53,28391,90,147,2013,Guamá
150820,VIGIA,3124,774,181,34306,61,7,2022,Guamá
150830,VISEU,1005,507,47,46048,22,206,2013,Rio Caeté
150830,VISEU,842,371,105,44668,16,1,2022,Rio Caeté
150835,VITÓRIA DO XINGU,1081,494,36,5583,39,14,2013,Xingu
150835,VITÓRIA DO XINGU,1482,702,97,9050,201,2,2022,Xingu
150840,XINGUARA,2566,992,128,22611,30,4,2022,Araguaia
150840,XINGUARA,3283,1389,62,16292,41,290,2013,Araguaia
